Территориальное управление Ростехнадзора,Субъект(ы) Российской Федерации,Вид проверки,Наименование проверяемой организации,ИНН проверяемой организации,Регистрационный № ОПО,Начало проведения проверки,Окончание проведения проверки,Количество башенных кранов в организации (всего),Количество проверенных башенных кранов,Количество демонтированных кранов (из числа проверенных),Количество выявленных технических нарушений,Количество выявленных организационных нарушений,Количество нарушений в части ППР,Количество нарушений в части ЭПБ,Количество нарушений требований ТР ТС 010/2011,"Количество иных нарушений (с указанием вида(видов) нарушений в графе ""Примечания"")",Общее количество выявленных нарушений (по Акту),Количество штрафов в отношении юридических лиц,Общая сумма наложенных штрафов в отношении юридических лиц (руб.),Количество штрафов в отношении должностных лиц,Общая сумма наложенных штрафов в отношении должностных лиц (руб.),Количество приостановок по ч.1 ст. 9.1 КоАП,Количество приостановок по ч. 3 ст. 9.1 КоАП,Количество вынесенных предупреждений,Количество дисквалификаций,"Иные принятые меры реагирования (письма в правоохранительные органы, прокуратуру, суды и т.д.)",Примечания
Северо-Уральское управление,86 Ханты-Мансийский автономный округ - Югра,первичная выездная проверка (по поручению 85 РП),"АО ""Челябинский завод железобетонных изделий № 1""",7 447 004 664,А56-00075-0008,02.04.2018,27.04.2018,3,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Уральское управление,86 Ханты-Мансийский автономный округ - Югра,первичная выездная проверка (по поручению 85 РП),"ООО ""СеверСтройРент""",8 602 209 639,А58-80905-0001,16.04.2018,16.05.2018,7,7,0,2,1,0,0,0,0,3,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Сибирское управление,42 Кемеровская область,первичная выездная проверка (по поручению 85 РП),ООО «Мостопоезд-833»,7 017 384 622,А68-01957-0001,24.04.2018,23.05.2018,1,1,0,0,5,0,0,0,0,5,0, -   ? ,0, -   ? ,0,0,0,0,,
Сибирское управление,42 Кемеровская область,первичная выездная проверка (по поручению 85 РП),ООО «Финансово-Строительная компания Стройсиб - 42»,4 205 201 019,А68-03008-0001,24.05.2018,30.05.2018,1,1,0,0,5,0,0,0,0,5,0, -   ? ,0, -   ? ,0,0,0,0,,
Сибирское управление,42 Кемеровская область,первичная выездная проверка (по поручению 85 РП),АО «Кемеровская генерация»,4 205 243 192,А68-02709-0008,15.05.2018,30.05.2018,1,1,0,0,8,4,1,1,0,14,0, -   ? ,2, 40 000.00 ? ,0,0,0,0,,"?Вручены уведомления
о времени и месте составления протоколов
об административном правонарушении в отношении 2 должностных лиц.
"
Сибирское управление,42 Кемеровская область,первичная выездная проверка (по поручению 85 РП),ООО «Лесо-торговая база Форест»,4 205 222 675,А68-02526-0001,29.05.2018,29.05.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?По результатам предварительной проверки выявлено, чтоООО «ЛТБ Форест»прекратило деятельность юридического лица 10.01.2017 в связи с исключением из ЕГРЮЛ на основании п. 2 ст. 21.1 Федерального закона от 08.08.2001 №129-ФЗ. Выписка из единого государственного реестра юридических лиц прилагается к акту. Опасный производственный объект «Участок транспортный» № А68-02526-0001 исключен из государственного реестра опасных производственных объектов 26.06.2017 на основании заявленияООО «ЛТБ Форест» № ОПО-68-178 от 31.05.2017 в связи со сменой эксплуатирующей организации.Башенные краны: БКСМ 7-9Г зав. №229 и КБ-309ХЛ зав. №1842 переданы гражданину Сандр Ивану Анатольевичу согласно соглашению о расторжении договора №2 аренды оборудования (технических устройств) от 30.12.2016г. Контакты с вышеуказанным гражданином отсутствуют."
Сибирское управление,42 Кемеровская область,контроль выполнения предписания,ООО «Строительное  Управление РСТ»,4 205 222 932,А68-02865-0001,26.04.2018,14.05.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?В ходе проверки установлено, что в ООО «Строительное управление РСТ» башенных кранов нет. Принятые ранее к учету Сибирским управлением     Ростехнадзора (далее – Управление) 8 башенных кранов: КБ-405.1А уч. № 38073 и А68-00115-0006пс; КБ-408.21 уч.№ А68-00115-0001пс; КБ-408.07 уч.№ А68-00115-0011пс; КБ-408.04 уч.№ А68-00115-0004пс и уч.№ 37396; КБМ-401П уч.№ 37542 и уч.№ 38039 проданы обществу с ограниченной ответственностью «Форвард» (далее – ООО «Форвард»), гор. Кемерово, ул. Спортивная, 28, оф.520 и с учета в Управлении сняты. Договора купли-продажи от 10.07.2015г. № 18 и от 24.07.2015г. б/н."
Северо-Уральское управление,86 Ханты-Мансийский автономный округ - Югра,первичная выездная проверка (по поручению 85 РП),"ОАО ""Сургутнефтегаз""",8 602 060 555,А58-70020-0870,27.03.2018,23.05.2018,2,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"До   проведения проверки, организацией внесены сведения в реестр согласно   паспортных сведений завода изготовителя, а именно изменено наименование:   башенные краны на портальные краны"
Центральное управление,1 Республика Адыгея (Адыгея);#50 Московская область,первичная выездная проверка (по поручению 85 РП),ООО «ГРАДАТИМ »,7 717 516 761,А01-07458-0001,27.04.2018,18.05.2018,6,1,5,6,16,8,0,0,0,30,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,"?кран башенный Terex Comedil CTT 161/A-8,  зав. № G7607012,   уч. № 93396
"
Северо-Уральское управление,89 Ямало-Ненецкий автономный округ,контроль выполнения предписания,"ООО ""ЛенАР""",8 906 008 363,А59-34537-0001,15.05.2018,28.05.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Уральское управление,89 Ямало-Ненецкий автономный округ,контроль выполнения предписания,"ООО ""СМУ-95""",7 734 104 422,А01-00381-0001,17.05.2018,18.05.2018,1,0,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Северо-Уральское управление,89 Ямало-Ненецкий автономный округ,контроль выполнения предписания,"ООО ""Жилстрой""",8 901 018 921,А59-60444-0001,22.05.2018,24.05.2018,1,1,0,0,4,0,0,0,0,4,1, 400.00 ? ,0, -   ? ,0,0,0,0,,
Уральское управление,74 Челябинская область,первичная выездная проверка (по поручению 85 РП),АО Трест Уралавтострой,7 415 010 908,А56-00485,21.12.2017,22.12.2017,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Уральское управление,74 Челябинская область,первичная выездная проверка (по поручению 85 РП),ООО Уралградстрой,7 204 038 100,А56-71937-0001,18.05.2018,18.05.2018,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Уральское управление,74 Челябинская область,первичная выездная проверка (по поручению 85 РП),ООО СУ-1 Уралавтострой,7 425 003 730,А56-72490-0001,22.05.2018,25.05.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Приокское управление,57 Орловская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Орел-Реконструкция-",5 752 071 920,А 10-21735-0001,21.05.2018,25.05.2018,1,1,0,5,4,1,0,0,0,10,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Сибирское управление,42 Кемеровская область,первичная выездная проверка (по поручению 85 РП),ООО «Атон»,4 217 076 411,А68-02573-0002,17.04.2018,17.05.2018,1,1,0,4,14,0,0,0,3,21,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,"?Направлен протокол на приостановку башенного крана КБ-271, зав. № 211, уч. № 36808, в Центральный районный суд г. Новокузнецка."
Северо-Западное управление,35 Вологодская область,первичная выездная проверка (по поручению 85 РП),Открытое акционерное общество«Череповецкий литейно-механический завод»,3 528 010 612,А28-00526-0001,17.05.2018,28.05.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Волжско-Окское управление,13 Республика Мордовия,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «СаранскСтройТранс»,1 327 002 689,А45-02182,28.05.2018,31.05.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?башенный кран КБ-309ХЛ уч. № 4378 демонтирован, находится по адресу: г. Саранск, ул. Павлова, 33 в разобранном виде
"
Волжско-Окское управление,13 Республика Мордовия,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью  ""Строительно-монтажное управление-33""",1 326 208 140,А45-01963-0001,17.05.2018,23.05.2018,1,1,0,2,18,1,0,0,0,21,1, 120 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Волжско-Окское управление,13 Республика Мордовия,контроль выполнения предписания,Общество с ограниченной ответственностью  «Управление механизации»,1 328 013 588,А45-02247-0001,10.05.2018,16.05.2018,8,5,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?ранее выданное предписание Волжско-Окского управления Ростехнадзора от 28 февраля 2018 года № пр-162/18/П/18выполнено
"
Северо-Западное управление,10 Республика Карелия,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью  «Север-металл»,1 001 092 461,А24-04193-0001,14.05.2018,25.05.2018,1,1,0,0,7,0,0,0,0,7,0, -   ? ,0, -   ? ,0,0,0,0,,
Верхне-Донское управление,36 Воронежская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""СМУ-10""",3 614 003 873,А12-02088,16.05.2018,16.05.2018,2,0,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"При проверке  установлено, что башенные грузоподъёмные краны КБ -403А, уч. №А12-9381, КБ -403А, уч. №А12-9076  не эксплуатируются, находятся в демонтированом состоянии
"
Верхне-Донское управление,36 Воронежская область,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Лиски-Строитель» ,3 652 007 325,А12-03218,16.05.2018,16.05.2018,1,0,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?При проверке  установлено,башенный грузоподъёмный кран КБ -100-3А, уч. №А12-7777 не эксплуатируются, находится в демонтированом состоянии"
Верхне-Донское управление,36 Воронежская область,первичная выездная проверка (по поручению 85 РП),"Закрытое акционерное общество ""Лискимонтажконструкция»""",3 652 000 930,А12-03026-0007,14.05.2018,18.05.2018,3,1,2,7,3,1,0,0,0,11,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,"?При проверке установлено,  что 2 крана - КП-300, зав. №694, уч. №3349,  КП-300, зав.№623, уч.№3186 - демонтированы,  один КП-300 уч. № А12-4113, зав. №978 находится в эксплуатации"
Кавказское управление,26 Ставропольский край,первичная выездная проверка (по поручению 85 РП),"ОАО ""СУМС №23""",2 632 012 276,№А35-00772-0001,01.03.2018,07.03.2018,4,4,3,0,9,2,0,0,11,22,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Кавказское управление,26 Ставропольский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Трубокомплект""",2 629 005 536,№А35-03175-0001,21.05.2018,25.05.2018,1,1,0,10,15,1,4,0,0,30,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ООО КСК ""Людвиг""",1 903 002 145,А65-01323-0001,23.04.2018,23.05.2018,4,4,1,6,5,0,0,0,0,11,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ООО ""Стройконструкция""",1 901 076 374,А65-02610-0001,10.05.2018,31.05.2018,4,3,3,4,10,0,0,0,0,14,0, -   ? ,0, -   ? ,0,0,0,0,"?составлен протокол на юридическое лицо
",
Приокское управление,40 Калужская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Монолит""",4 003 003 889,А09-40376-0004,25.05.2018,01.06.2018,1,1,0,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,0,0,,"?кран не эксплуатируется (консервация)
"
Центральное управление,67 Смоленская область,контроль выполнения предписания,"ООО ""ТомСолСервис""",6 729 017 758,,27.04.2018,07.05.2018,1,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,"?Составлен акт о невозможности проведения проверки № 12.2-0188вн-А/0057-2018. Составлены протоколы: на юридическое лицо № 12.2-0188вн-Пр/0043-2018, должностное № 12.2-0188вн-Пр/0042-2018. Материалы направлены в мировой суд судебного участка № 5 г. Смоленска.
",
Западно-Уральское управление,56 Оренбургская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью""Новотроицкий завод сборного железобетона""",5 607 046 421,А49-03170-0007,07.05.2018,10.05.2018,1,1,1,0,1,0,0,0,0,1,0, -   ? ,0, -   ? ,0,0,1,0,,"?Согласно Сведений из Единого реестра субъектов малого и среднего предпринимательства ООО ""НЗСЖБ"" относится среднему предприятию. Согласно свдений с сайта ФНС России из Единого государственного реестра юридических лиц ООО ""НЗСЖБ"" находится в стадии ликвидации.
"
Центральное управление,44 Костромская область,контроль выполнения предписания,"ООО ""Стройинвест""",4 401 124 593,"А17-03898-0002, А17-03898-0003",18.04.2018,20.04.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,44 Костромская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Мегаполис""",4 414 009 735,А17-04083-0001,26.04.2018,04.05.2018,1,1,0,4,7,0,0,0,0,11,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,
Межрегиональное технологическое управление,77 г. Москва,первичная выездная проверка (по поручению 85 РП),"ООО ""Строительно-монтажное управление № 5 Мосметростроя""",7 704 558 549,А01-00675-0011; А01-00675-0013,06.04.2018,03.05.2018,3,3,0,9,6,0,0,0,0,15,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Кавказское управление,5 Республика Дагестан,первичная выездная проверка (по поручению 85 РП),"ООО ""Дагресурс""",562 047 744,А32-00959-0001,03.05.2018,07.05.2018,1,1,0,1,3,2,0,0,0,6,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,
Кавказское управление,5 Республика Дагестан,первичная выездная проверка (по поручению 85 РП),ООО Пргресс-90,546 019 281,А32-01343-0002,08.05.2018,11.05.2018,3,3,2,2,4,1,0,0,0,7,0, -   ? ,0, -   ? ,1,0,0,0,,
Кавказское управление,5 Республика Дагестан,первичная выездная проверка (по поручению 85 РП),"ЖСК ""Домстрой""",561 059 560,А32-01327-0001,16.05.2018,18.05.2018,4,4,0,3,4,2,0,0,0,9,0, -   ? ,0, -   ? ,1,0,0,0,,
Кавказское управление,5 Республика Дагестан,первичная выездная проверка (по поручению 85 РП),"ООО Строитель-7""",560 004 865,А32-00541-0001,15.05.2018,18.05.2018,2,2,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Кавказское управление,5 Республика Дагестан,первичная выездная проверка (по поручению 85 РП),"ООО ""Градиент""",515 015 417,А32-01401-0001,22.05.2018,25.05.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Приволжское управление,16 Республика Татарстан (Татарстан),контроль выполнения предписания,ООО СК КамАвтоСтрой,1 646 033 154,А43-06760-0001 от 14.04.2014г.,19.04.2018,20.04.2018,2,2,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Репер""",6 314 011 798,А53-03670-0002,29.05.2018,31.05.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,"?Башенный кранQTZ-80 рег. №10034, зав.№ 80-07-50В, 2007г. выпуска,  г/п 8тн. во время проверки не эксплуатировался в связи отсутствием объёма работ. Кран демонтирован в 2015г. и складирован на базе предприятия, фотоматериалы прилагаются."
Сибирское управление,54 Новосибирская область,первичная выездная проверка (по поручению 85 РП),"Закрытое акционерное общество ""Завод ЖБИ-1""",5 408 232 487,А60-00606-0005,17.04.2018,15.05.2018,11,11,0,104,17,0,1,0,0,122,0, -   ? ,2, 40 000.00 ? ,11,0,0,0,,"?Приостановлена работа 11 башенных кранов БКСМ 7-5г зав. № 1950, уч. № 10244, зав. № 2877, уч. № 10245, зав. № 1603, уч. № 10246, зав. № 2035, уч. № 10247, зав. № 2470, уч. № 10248, зав. № 1988, уч. № 10249, зав. № 3159, уч. № 10250, зав. № 1506, уч. № 10253, зав. № 2266, уч. № б/н, зав. № 2267, уч. № б/н, зав. № 2290, уч. № 10251 судьей Советского районного  суда по делу № 5-53/2018 от 21.05.2018 сроком на 90 суток. Протокол о временном запрете работы этих башенных кранов от 15.05.2018 г."
Сибирское управление,54 Новосибирская область,первичная выездная проверка (по поручению 85 РП),"Акционерное общество ""Дубровинский лесхоз""",5 432 213 044,А60-04077-0001,17.05.2018,24.05.2018,1,1,0,15,12,0,0,0,0,27,0, -   ? ,2, 40 000.00 ? ,0,0,0,0,,
Сибирское управление,54 Новосибирская область,первичная выездная проверка (по поручению 85 РП),ОАО «Новосибирский завод строительных конструкций»,5 404 109 771,А60-04044-0003,23.04.2018,17.05.2018,1,1,0,4,9,0,1,0,0,14,0, -   ? ,1, 20 000.00 ? ,1,0,0,0,,?Приостановлена работа 1 башенного крана БКСМ 14 зав. № 985 уч. № 10609 судьей Ленинского районного  суда города Новосибирска Гришакина Т.В. 24.05.2018  по делу № 5-522/2018 сроком на 90 суток.
Сибирское управление,54 Новосибирская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Монтажно-строительное управление № 78""",5 410 145 256,"А60-00801-001,",29.05.2018,31.05.2018,1,1,0,1,5,0,1,0,0,7,1, 300 000.00 ? ,0, -   ? ,1,0,0,0,,"?Составлен протокол по ч. 1 ст. 9.1 КоАП РФ от 04.06.2018 г. на временный запрет деятельности башенного крана БКСМ 4-9К зав. №346 уч. № 9903, документы направлены в Калининский районный суд города Новосибирска"
Сибирское управление,54 Новосибирская область,первичная выездная проверка (по поручению 85 РП),"Открытое акционерное общество ""Трест""Связьстрой-6""",5 402 107 232,А60-04491-0004,11.04.2018,27.04.2018,1,1,0,1,4,0,1,0,0,6,1, 300 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Сибирское управление,54 Новосибирская область,контроль выполнения предписания,Общество с ограниченной ответственностью «СтройТехМонтаж-НСК»,5 408 232 825,А60-06019-0001,18.05.2018,19.05.2018,15,15,9,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Сибирское управление,54 Новосибирская область,контроль выполнения предписания,ООО «Линевский домостроительный комбинат»,5 443 026 590,А60-07636-0001,22.05.2018,23.05.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,59 Пермский край,контроль выполнения предписания,ООО «Альфа-строй»,5 905 287 670,А48-13402-0001,04.05.2018,14.05.2018,2,2,0,0,2,1,0,0,0,3,1, 400 000.00 ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,59 Пермский край,первичная выездная проверка (по поручению 85 РП),ООО «Камский кабель»,5 904 184 047,А48-12188-0016,04.05.2018,01.06.2018,1,1,0,9,16,0,2,1,0,28,0, -   ? ,0, -   ? ,0,0,0,0,,
Сибирское управление,54 Новосибирская область,контроль выполнения предписания,ООО «Управление механизации»,5 405 342 072,А60-06860-0001,25.04.2018,10.05.2018,11,11,5,5,6,0,0,0,0,11,1, 400 000.00 ? ,0, -   ? ,0,0,0,0,,
Сибирское управление,54 Новосибирская область,контроль выполнения предписания,"ЗАО ""Бердский строительный трест""",5 445 005 958,А60-00198-0001,15.05.2018,16.05.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Западно-Уральское управление,59 Пермский край,первичная выездная проверка (по поручению 85 РП),ООО  «Каспий»,5 919 011 978,А 48-13427-0001,23.04.2018,23.05.2018,1,1,0,18,14,1,0,3,0,36,0, -   ? ,0, -   ? ,0,1,0,0,,
Северо-Кавказское управление,61 Ростовская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Гвидон""",6 163 084 255,А29-06607-0001,16.04.2018,16.05.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,"По адресу 346882, Ростовская область, г. Батайск, ул. Орджоникидзе, 2г, башенный кран отсутствует,передан на основании соглашения от 29.11.2017 ""Об уступке прав и переводе долга по Договору финансовой аренды (лизинга) оборудования № 21/09-15 ДЛ от 18.09.2015"". ООО ""Гвидон подало заявление от 15.05.2018 № ОПО-29-371 в Северо-Кавказское управление Ростехнадзора на исключение ОПО из государственного реестра опасных производственных объектов, в свзи с утраторй объектом признака опасности."
Северо-Кавказское управление,61 Ростовская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Полет""",6 163 108 298,А29-06602-0001,16.04.2018,16.05.2018,0,0,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,0?,"?по адресу 344000, Ростовсквя область, г. Ростов-на-Дону, территория бывшего аэродрома ДОСААФ, башенный кран отсутствует, кран башенный продан ООО ""Доктор Хауз"", опасный производсвтенный объект исключен из государственного реестра опасных производственных объектов. ООО ""Полет"" исключило ОПО в связи с утратой признака опасности ""Участок строительства"" рег. № А29-06602-0001."
Северо-Кавказское управление,61 Ростовская область,контроль выполнения предписания,"ООО МНПП ""Ростспецпромстрой""",6 166 017 874,А29-01316-0001,18.05.2018,01.06.2018,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,0?,"?Нарушения, указанные в предписании от 27.03.2018 № 49-00-18 устранены в полном объеме."
Северо-Кавказское управление,61 Ростовская область,контроль выполнения предписания,ООО Универсал-Центр Юг Авиа,6 162 013 300,"Площадка, на которой эксплуатируются подъемные сооружения",26.04.2018,14.05.2018,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,0?,"?Башенный кран КБ-403 зав. №272, возвращен собственнику по Акту приема-передачи от 27.04.2018. Договор аренды башенного крана КБ-403 Б зав. № 272 от 01.10.2015 № 08/15 с ООО ""Пратнер-Дон"" расторгнут на основании письма исх. №33 от 26.04.2018."
Северо-Кавказское управление,61 Ростовская область,контроль выполнения предписания,"ООО ""Крупнопанельное домостроение""",6 165 114 459,"Площадка, на которой эксплуатируются подъемные сооружения",26.04.2018,11.05.2018,2,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Башенный кран КБ-405-1А зав. № 1213 возвращен собственнику по Акту приема-передачи от 19.04.2018. Договор аренды башенного крана КБ-405-1А за. № 1213 от 01.01.2018 № 17/17 с ООО ""Партнер-Дон"" расторгнут на основании письма исх №17 от 20.04.2018. Башенный кран КБ-403 зав. № 20 возвращен собственнику по Акту приема-передачи от 19.04.2018. Договор аренды башенного крана КБ-403 А зав. № 20 от 15.03.2016 №11/16 с ООО ""Партнер-Дон"" расторгнут на основании письма исх. № 91 от 12.04.2018."
Северо-Кавказское управление,61 Ростовская область,контроль выполнения предписания,"ООО ""Таганремстрой""",6 154 140 288,"Площадка, на которой эксплуатируются подъемные сооружения",26.04.2018,28.05.2018,1,1,0,1,7,0,0,0,0,8,0, -   ? ,2, 60 000.00 ? ,1,0,0,0,"?направлены материалы в Таганрогский городской суд материалы по привлечению к административной ответственности бридическре лицо ООО ""Таганремстрой"" по ч.1 ст.9.1 КоАП РФ в виде административного приостановления лефтельности, связанной с эксплуатацией башенного крана КБ-403 Б зав. № 1872.",
Северо-Кавказское управление,61 Ростовская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Дон-Кубань строй""",6 164 105 162,А29-06657-0001,17.05.2018,21.05.2018,1,1,0,0,3,7,0,0,0,10,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Северо-Кавказское управление,61 Ростовская область,контроль выполнения предписания,"ООО ""Башкрансервис""",6 141 050 439,А29-06650-0001,28.05.2018,01.06.2018,2,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,"?Нарушения устранены в полном объеме.
"
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Втормет""",4 217 164 851,А-66-04232-0001,23.04.2018,23.05.2018,1,0,0,0,2,0,0,0,0,2,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,"?Кран передан орендодателю
"
Енисейское управление,24 Красноярский край,контроль выполнения предписания,"ООО ""Вуд Логистика""",2 465 251 219,,26.04.2018,28.05.2018,2,2,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ОАО ""Красноярскпромстрой""",2 465 005 904,А66-00524-0003,09.04.2018,08.05.2018,7,7,3,19,7,0,0,0,0,26,1, 100 000.00 ? ,0, -   ? ,0,0,0,0,,"?3 крана демонтаж, 2 крана консервация
"
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ОАО ""Стройиндустрия""",2 460 002 547,А66-00802-0005,03.05.2018,31.05.2018,2,2,0,1,14,0,0,0,0,15,1, 100 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Алиса""",2 454 027 180,,04.05.2018,31.05.2018,2,2,0,17,6,6,0,4,0,33,1, 200 000.00 ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Кодинская перевалочная база""",2 420 006 104,А66-00929-0001,21.05.2018,28.05.2018,0,0,0,0,2,0,0,0,0,2,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,"?Кран передан в аренду
"
Сибирское управление,55 Омская область,первичная выездная проверка (по поручению 85 РП),"Общество с ограниченной ответственностью ""Альянс-Строй""",550 101 001,А61-06427-0001,03.04.2018,26.04.2018,6,6,2,2,12,2,4,0,0,20,0, -   ? ,1, 20 000.00 ? ,4,0,0,0,,"?1. Направлен протокол на приостановку  двух башенных кранов КБ-309ХЛ зав. № 1879, уч.№7628, г.в.1990; КБ-100.0.АС зав.№1353, уч. № 5049, г.в.1991 в Центральный районный суд г. Омска. 2.Направлен протокол на приостановку   двух башенных кранов КБ-403Б зав. № 2097, уч.№9569, г.в. 2007; КБ-403Б зав.№69, уч. № 8408, г.в. 1995 в Куйбышевский районный суд г. Омска."
Сибирское управление,55 Омская область,контроль выполнения предписания,"Общество с ограниченной ответственностью ""Авто-Трэйс""",5 503 225 779,А61-06219-0001,22.05.2018,31.05.2018,2,2,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Приволжское управление,21 Чувашская Республика - Чувашия,первичная выездная проверка (по поручению 85 РП),"ООО ""Волжский транзит""",2 124 038 145,А44-52681-0001,13.02.2018,15.03.2018,7,7,5,4,11,6,0,0,4,25,0, -   ? ,3, 60 000.00 ? ,2,0,0,0,,
Приволжское управление,21 Чувашская Республика - Чувашия,первичная выездная проверка (по поручению 85 РП),ОАО «ЧЗСМ»,2 129 008 916,А44-52681-0001,12.03.2018,23.03.2018,4,4,4,0,2,0,0,0,3,5,0, -   ? ,1, 20 000.00 ? ,0,0,0,0,,
Западно-Уральское управление,18 Удмуртская Республика,первичная выездная проверка (по поручению 85 РП),Общество с ограниченной ответственностью «Колос»,1 835 049 368,А46-12275-0001,20.09.2017,28.09.2017,3,2,1,8,13,2,0,1,2,26,1, 100 000.00 ? ,0, -   ? ,0,0,1,0,,"?иные нарушения, связанные с хранением демонтированных кранов"
